Datum;Morgen Kommen;Morgen Gehen;Mittag Kommen;Abend Gehen;Arbeitszeit;Sollzeit;Differenz;Feiertag
Sa 19.04.2025;;;;;00:00;00:00;00:00 ;
So 20.04.2025;;;;;00:00;00:00;00:00 ;
Mo 21.04.2025;;;;;00:00;08:24;08:24 Fehl;
Di 22.04.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 23.04.2025;;;;;00:00;08:24;08:24 Fehl;
Do 24.04.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 25.04.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 26.04.2025;;;;;00:00;00:00;00:00 ;
So 27.04.2025;;;;;00:00;00:00;00:00 ;
Mo 28.04.2025;;;;;00:00;08:24;08:24 Fehl;
Di 29.04.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 30.04.2025;;;;;00:00;08:24;08:24 Fehl;
Do 01.05.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 02.05.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 03.05.2025;;;;;00:00;00:00;00:00 ;
So 04.05.2025;;;;;00:00;00:00;00:00 ;
Mo 05.05.2025;;;;;00:00;08:24;08:24 Fehl;
Di 06.05.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 07.05.2025;;;;;00:00;08:24;08:24 Fehl;
Do 08.05.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 09.05.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 10.05.2025;;;;;00:00;00:00;00:00 ;
So 11.05.2025;;;;;00:00;00:00;00:00 ;
Mo 12.05.2025;;;;;00:00;08:24;08:24 Fehl;
Di 13.05.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 14.05.2025;;;;;00:00;08:24;08:24 Fehl;
Do 15.05.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 16.05.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 17.05.2025;;;;;00:00;00:00;00:00 ;
So 18.05.2025;;;;;00:00;00:00;00:00 ;
Mo 19.05.2025;;;;;00:00;08:24;08:24 Fehl;
Di 20.05.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 21.05.2025;;;;;00:00;08:24;08:24 Fehl;
Do 22.05.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 23.05.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 24.05.2025;;;;;00:00;00:00;00:00 ;
So 25.05.2025;;;;;00:00;00:00;00:00 ;
Mo 26.05.2025;;;;;00:00;08:24;08:24 Fehl;
Di 27.05.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 28.05.2025;;;;;00:00;08:24;08:24 Fehl;
Do 29.05.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 30.05.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 31.05.2025;;;;;00:00;00:00;00:00 ;
So 01.06.2025;;;;;00:00;00:00;00:00 ;
Mo 02.06.2025;;;;;00:00;08:24;08:24 Fehl;
Di 03.06.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 04.06.2025;;;;;00:00;08:24;08:24 Fehl;
Do 05.06.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 06.06.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 07.06.2025;;;;;00:00;00:00;00:00 ;
So 08.06.2025;;;;;00:00;00:00;00:00 ;
Mo 09.06.2025;;;;;00:00;08:24;08:24 Fehl;
Di 10.06.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 11.06.2025;;;;;00:00;08:24;08:24 Fehl;
Do 12.06.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 13.06.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 14.06.2025;;;;;00:00;00:00;00:00 ;
So 15.06.2025;;;;;00:00;00:00;00:00 ;
Mo 16.06.2025;;;;;00:00;08:24;08:24 Fehl;
Di 17.06.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 18.06.2025;;;;;00:00;08:24;08:24 Fehl;
Do 19.06.2025;;;;;00:00;00:00;00:00 ;Fronleichnam (bezahlt)
Fr 20.06.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 21.06.2025;;;;;00:00;00:00;00:00 ;
So 22.06.2025;;;;;00:00;00:00;00:00 ;
Mo 23.06.2025;;;;;00:00;08:24;08:24 Fehl;
Di 24.06.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 25.06.2025;;;;;00:00;08:24;08:24 Fehl;
Do 26.06.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 27.06.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 28.06.2025;;;;;00:00;00:00;00:00 ;
So 29.06.2025;;;;;00:00;00:00;00:00 ;
Mo 30.06.2025;;;;;00:00;08:24;08:24 Fehl;
Di 01.07.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 02.07.2025;;;;;00:00;08:24;08:24 Fehl;
Do 03.07.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 04.07.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 05.07.2025;;;;;00:00;00:00;00:00 ;
So 06.07.2025;;;;;00:00;00:00;00:00 ;
Mo 07.07.2025;;;;;00:00;08:24;08:24 Fehl;
Di 08.07.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 09.07.2025;;;;;00:00;08:24;08:24 Fehl;
Do 10.07.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 11.07.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 12.07.2025;;;;;00:00;00:00;00:00 ;
So 13.07.2025;;;;;00:00;00:00;00:00 ;
Mo 14.07.2025;;;;;00:00;08:24;08:24 Fehl;
Di 15.07.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 16.07.2025;;;;;00:00;08:24;08:24 Fehl;
Do 17.07.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 18.07.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 19.07.2025;;;;;00:00;00:00;00:00 ;
So 20.07.2025;;;;;00:00;00:00;00:00 ;
Mo 21.07.2025;;;;;00:00;08:24;08:24 Fehl;
Di 22.07.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 23.07.2025;;;;;00:00;08:24;08:24 Fehl;
Do 24.07.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 25.07.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 26.07.2025;;;;;00:00;00:00;00:00 ;
So 27.07.2025;;;;;00:00;00:00;00:00 ;
Mo 28.07.2025;;;;;00:00;08:24;08:24 Fehl;
Di 29.07.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 30.07.2025;;;;;00:00;08:24;08:24 Fehl;
Do 31.07.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 01.08.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 02.08.2025;;;;;00:00;00:00;00:00 ;
So 03.08.2025;;;;;00:00;00:00;00:00 ;
Mo 04.08.2025;;;;;00:00;08:24;08:24 Fehl;
Di 05.08.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 06.08.2025;;;;;00:00;08:24;08:24 Fehl;
Do 07.08.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 08.08.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 09.08.2025;;;;;00:00;00:00;00:00 ;
So 10.08.2025;;;;;00:00;00:00;00:00 ;
Mo 11.08.2025;;;;;00:00;08:24;08:24 Fehl;
Di 12.08.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 13.08.2025;;;;;00:00;08:24;08:24 Fehl;
Do 14.08.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 15.08.2025;;;;;00:00;00:00;00:00 ;Mariä Himmelfahrt (bezahlt)
Sa 16.08.2025;;;;;00:00;00:00;00:00 ;
So 17.08.2025;;;;;00:00;00:00;00:00 ;
Mo 18.08.2025;;;;;00:00;08:24;08:24 Fehl;
